1 States | 0 Links | 0 Cyclic duplicates | 155057/265719 Skipped | ~0.004 ms per string | 473 ms
3 States | 0 Links | 0 Cyclic duplicates | 595722/797157 Skipped | ~0.007 ms per string | 1538 ms
8 States | 16 Links | 0 Cyclic duplicates | 1710806/2125752 Skipped | ~0.010 ms per string | 4136 ms
15 States | 66 Links | 0 Cyclic duplicates | 3515132/3985785 Skipped | ~0.014 ms per string | 6706 ms
28 States | 246 Links | 0 Cyclic duplicates | 6740585/7440132 Skipped | ~0.017 ms per string | 12590 ms
39 States | 782 Links | 3 Cyclic duplicates | 9475277/10097322 Skipped | ~0.024 ms per string | 15662 ms
45 States | 1528 Links | 4 Cyclic duplicates | 11041612/11603063 Skipped | ~0.023 ms per string | 13961 ms
68 States | 2962 Links | 6 Cyclic duplicates | 17029405/17537454 Skipped | ~0.042 ms per string | 22932 ms
100 States | 5570 Links | 14 Cyclic duplicates | 24821811/25331878 Skipped | ~0.064 ms per string | 34820 ms
144 States | 10055 Links | 13 Cyclic duplicates | 36461597/37112087 Skipped | ~0.076 ms per string | 52354 ms
199 States | 16816 Links | 28 Cyclic duplicates | 49552107/50398037 Skipped | ~0.087 ms per string | 77920 ms
197 States | 23774 Links | 32 Cyclic duplicates | 48699750/49512307 Skipped | ~0.086 ms per string | 74653 ms
123 States | 28720 Links | 53 Cyclic duplicates | 27733178/27989068 Skipped | ~0.067 ms per string | 19603 ms
73 States | 28640 Links | 29 Cyclic duplicates | 16614370/16828870 Skipped | ~0.059 ms per string | 14229 ms
62 States | 29573 Links | 28 Cyclic duplicates | 13835891/13994534 Skipped | ~0.068 ms per string | 12007 ms
33 States | 29402 Links | 14 Cyclic duplicates | 7452303/7528705 Skipped | ~0.059 ms per string | 5153 ms
22 States | 29433 Links | 7 Cyclic duplicates | 5177302/5225807 Skipped | ~0.060 ms per string | 3366 ms
24 States | 30025 Links | 5 Cyclic duplicates | 5889234/5934391 Skipped | ~0.071 ms per string | 3679 ms
24 States | 30405 Links | 2 Cyclic duplicates | 6153885/6200110 Skipped | ~0.078 ms per string | 4095 ms
14 States | 30334 Links | 6 Cyclic duplicates | 3183142/3188628 Skipped | ~0.039 ms per string | 498 ms
5 States | 30460 Links | 3 Cyclic duplicates | 1053547/1062876 Skipped | ~0.062 ms per string | 685 ms
4 States | 30521 Links | 0 Cyclic duplicates | 1055201/1062876 Skipped | ~0.048 ms per string | 461 ms
3 States | 30606 Links | 0 Cyclic duplicates | 783332/797157 Skipped | ~0.048 ms per string | 739 ms
5 States | 30726 Links | 1 Cyclic duplicates | 1226196/1240022 Skipped | ~0.089 ms per string | 1342 ms
4 States | 30772 Links | 0 Cyclic duplicates | 1049555/1062876 Skipped | ~0.083 ms per string | 1212 ms
3 States | 30798 Links | 0 Cyclic duplicates | 779415/797157 Skipped | ~0.044 ms per string | 867 ms
4 States | 30908 Links | 1 Cyclic duplicates | 960146/974303 Skipped | ~0.047 ms per string | 757 ms
